iter	Passed	Remaining
1057	10452	88341
1058	10461	88325
1059	10470	88310
1060	10479	88291
1061	10489	88277
1062	10497	88259
1063	10507	88244
1064	10516	88226
1065	10525	88216
1066	10536	88209
1067	10546	88205
1068	10556	88193
1069	10566	88182
1070	10575	88166
1071	10584	88155
1072	10594	88145
1073	10603	88128
1074	10613	88116
1075	10622	88100
1076	10631	88085
1077	10641	88072
1078	10650	88058
1079	10661	88055
1080	10670	88042
1081	10680	88028
1082	10689	88011
1083	10698	87994
1084	10707	87982
1085	10716	87962
1086	10725	87946
1087	10734	87926
1088	10743	87911
1089	10752	87898
1090	10762	87885
1091	10773	87886
1092	10782	87865
1093	10791	87851
1094	10804	87864
1095	10822	87922
1096	10847	88032
1097	10857	88024
1098	10866	88011
1099	10875	87995
1100	10884	87978
1101	10893	87958
1102	10902	87943
1103	10911	87928
1104	10921	87912
1105	10930	87894
1106	10939	87877
1107	10948	87862
1108	10957	87847
1109	10966	87833
1110	10976	87819
1111	10986	87809
1112	10995	87795
1113	11004	87777
1114	11015	87781
1115	11026	87775
1116	11036	87769
1117	11046	87758
1118	11056	87752
1119	11066	87744
1120	11077	87736
1121	11086	87720
1122	11095	87707
1123	11104	87691
1124	11113	87676
1125	11122	87654
1126	11131	87641
1127	11140	87624
1128	11149	87605
1129	11158	87590
1130	11167	87572
1131	11176	87556
1132	11186	87543
1133	11195	87528
1134	11205	87518
1135	11214	87507
1136	11226	87510
1137	11236	87504
1138	11247	87499
1139	11257	87493
1140	11267	87485
1141	11277	87476
1142	11287	87468
1143	11296	87451
1144	11306	87441
1145	11316	87434
1146	11326	87419
1147	11336	87411
1148	11345	87399
1149	11356	87394
1150	11366	87387
1151	11376	87380
1152	11386	87367
1153	11395	87352
1154	11405	87343
1155	11414	87330
1156	11425	87328
1157	11437	87331
1158	11447	87320
1159	11457	87312
1160	11467	87306
1161	11478	87300
1162	11487	87286
1163	11497	87275
1164	11506	87262
1165	11516	87250
1166	11525	87235
1167	11534	87222
1168	11544	87209
1169	11553	87191
1170	11562	87178
1171	11571	87164
1172	11580	87148
1173	11589	87131
1174	11599	87118
1175	11608	87103
1176	11618	87091
1177	11626	87072
1178	11636	87063
1179	11651	87087
1180	11668	87136
1181	11686	87182
1182	11696	87178
1183	11706	87168
1184	11715	87148
1185	11724	87131
1186	11733	87113
1187	11742	87101
1188	11751	87084
1189	11760	87067
1190	11769	87051
1191	11778	87035
1192	11787	87019
1193	11796	87003
1194	11805	86988
1195	11814	86972
1196	11825	86964
1197	11834	86951
1198	11853	87010
1199	11864	87009
1200	11874	86998
1201	11884	86986
1202	11893	86971
